pitch,yaw,x,y,z,state
-80.12,58.31,-273,283,624,0
-81.19,76.31,-471,-19,-91,0
-79,119.75,93,303,42,0
-75,124.87,-336,111,-373,0
-85.69,175.75,-35,284,-242,0
-78.94,48.88,424,151,220,0
-77.75,45.81,784,-474,297,0
-81.62,77.44,483,-162,-162,0
-77,117.5,-5,166,60,0
-79.94,142.69,-49,-111,44,0
-82,34.44,428,125,60,0
-82.62,68.06,-752,-189,-168,0
-79.25,40.31,-81,91,-395,0
-81.56,118.06,-101,140,0,0
-75,120.69,-274,131,60,0
-83.12,140.5,-54,-261,58,0
-78,41.88,573,-26,-33,0
-81.06,53.38,-388,293,555,0
-81.87,91.56,-509,-282,-137,0
-79.5,122.06,111,418,110,0
-75.37,126.44,-132,142,-283,0
-85.5,4.25,163,199,-138,0
-79.44,50.94,224,137,160,0
-76.94,53.81,964,-368,73,0
-81.44,86.94,466,10,-108,0
-76.06,115.62,16,30,103,0
-81.69,159.56,-809,-442,-150,0
-78.94,40,480,-334,-94,0
-82.06,80.56,-660,83,528,0
-80.5,55.88,160,145,-466,0
-78.37,132.75,-255,74,-25,0
-74.19,122.81,-210,-52,84,0
-85.87,177.06,167,288,-11,0
-78.06,44.06,517,104,187,0
-79.37,59.31,20,-867,19,0
-80.81,83.06,705,-179,-157,0
-77.06,118.81,19,221,159,0
-79.19,159.25,-552,-249,-84,0
-79.69,40.81,424,-30,-14,0
-82.75,75.19,-1084,-318,207,0
-78.87,46.13,114,69,-522,0
-80.19,126.75,-105,110,40,0
-74.94,121.44,-319,193,38,0
-85.37,175.69,217,-109,154,0
-77.12,39.63,660,112,52,0
-80.12,55.25,-1062,-166,-724,0
-81.12,84.56,169,-473,-142,0
-78.31,112.75,104,374,160,0
-79.44,134.06,47,34,-88,0
-83.69,4,313,192,-103,0
-81.44,63.63,-440,75,-80,0
-77.19,37.38,209,178,-231,0
-81.56,120.44,-166,320,-39,0
-76.12,119.25,-239,175,22,0
-85.44,176.12,-96,-436,-47,0
-76,36.69,648,-99,-74,0
-80.25,44.88,-197,551,135,0
-82.69,65.56,-308,-252,-258,0
-80.25,122.37,18,373,65,0
-78.62,128.37,98,244,32,0
-85.19,2.56,188,331,-118,0
-80.12,50.94,112,100,-74,0
-76.19,33.63,964,-120,-117,0
-82.62,79.87,318,61,-158,0
-77.56,111.56,26,7,91,0
-81.87,158.94,-732,-431,-93,0
-78.94,35.06,548,-299,-123,0
-82.56,68.75,-812,57,431,0
-78.81,40.38,130,158,-440,0
-81.37,124,-59,53,-23,0
-76.44,121.87,-329,85,-66,0
-87.37,2,325,267,-92,0
-77.87,35.69,402,60,221,0
-79.87,47.38,-431,-841,-481,0
-81.69,74.5,358,-360,-184,0
-78.81,112.87,-20,228,102,0
-81.19,159.5,-729,-347,-65,0
-77.37,36.5,673,-329,-72,0
-81.94,58.88,-893,55,342,0
-80,43.5,-64,136,-685,0
-81.37,121.69,-137,272,-35,0
-75.87,119.44,-431,220,-94,0
-86.06,176.06,295,-52,16,0
-76.62,36.38,575,-69,41,0
-79.5,48.94,-862,-138,-338,0
-81.37,74.5,-58,-286,-216,0
-79.94,111.12,90,513,109,0
-79.81,137.56,-42,-85,3,0
-83.5,4.25,190,-23,-71,0
-78.19,44.25,6,75,-51,0
-75.19,34.13,484,-54,-265,0
-82.94,90.94,278,-11,-120,0
-76.44,120.94,-217,-433,6,0
-83.25,177.44,-521,-463,-329,0
-78.44,30.62,524,-94,-36,0
-83.44,4.62,-480,300,487,0
-79.12,36.44,77,77,-429,0
-82.62,136.75,-198,149,-5,0
-77.75,119,-270,159,-91,0
-88.69,179.62,37,167,99,0
-79.25,23,595,106,-41,0
-82.31,36.38,-487,221,-474,0
-82.75,76.12,-290,-365,-236,0
-79.44,109.44,87,270,55,0
-79.31,122.31,133,-96,-79,0
-82.19,42.75,172,-110,-113,0
-80.12,54.31,-666,161,-193,0
-73.44,32.63,607,218,-200,0
-84.19,174.31,-27,292,-129,0
-78.06,121.62,-424,175,-95,0
-87,177.31,64,95,-92,0
-76.31,32,489,-32,-122,0
-79.56,35.44,-184,613,364,0
-80.69,41.44,-232,-45,-169,0
-83.44,173.87,2,484,-12,0
-80.56,123.37,23,202,-258,0
-86.56,1,-3,24,-177,0
-78.87,35.56,191,-5,144,0
-77.31,43.81,-55,-1117,-247,0
-83.44,6.25,275,-367,-207,0
-79.81,111.69,107,81,40,0
-83.06,169.44,-557,-544,-91,0
-80.5,26.5,428,-162,-92,0
-82.25,50.94,-775,158,-45,0
-77.94,30.75,-40,91,-494,0
-84.75,175.31,-80,121,-66,0
-79.19,118,-373,-20,28,0
-89.31,-179.37,-150,-12,-24,0
-76.12,18.5,626,2,-54,0
-79.12,31.37,-815,-239,-868,0
-81.62,54.56,260,-550,-198,0
-82.06,105.12,38,-20,81,0
-85,176.94,130,-163,-132,0
-81.12,8.38,280,-151,33,0
-82.87,38.75,-552,186,-344,0
-76.75,28.31,534,69,-362,0
-84.94,175.06,-22,218,-216,0
-78.12,113.37,-88,1,45,0
-84.5,179.06,-400,-482,-245,0
-75.62,24.94,608,-252,-84,0
-78.62,28.44,-200,415,693,0
-81,37.25,-79,-33,-363,0
-84.62,175,3,453,55,0
-81.5,124,-34,224,-179,0
-86.06,0.31,-13,196,-194,0
-77.75,31.75,207,42,143,0
-76.62,35.69,-96,-975,-247,0
-82.37,49.19,593,1,-206,0
-80.19,95.25,-132,183,49,0
-86.56,179.37,-843,-474,-335,0
-74.87,22.5,690,-402,-169,0
-81.75,38.75,-754,25,322,0
-78,29.25,-98,20,-610,0
-83.56,6.25,147,169,-3,0
-79.31,107.5,-336,-176,-83,0
-86.75,0.37,212,31,-64,0
-75.75,19.56,526,217,-18,0
-79,25.94,-1163,-689,-1159,0
-82.44,38.81,174,-228,-149,0
-81.87,85.62,92,35,-4,0
-85.37,176.56,-3,-140,-119,0
-79.75,12.56,203,-101,-63,0
-78.69,31.87,-369,49,-85,0
-73.19,22.19,622,10,-273,0
-84.81,3.75,258,261,-155,0
-80.5,95.37,-86,292,-37,0
-88.94,0.75,-38,-183,-101,0
-74.62,17.19,541,-54,-172,0
-77.87,28.31,-103,319,646,0
-77.87,29.81,-338,-191,-389,0
-83.44,6.37,36,203,-108,0
-81.87,103.62,-192,3,-268,0
-80.62,14.38,86,-190,-145,0
-78.06,28.94,-315,-8,-38,0
-70.69,20.81,1036,-331,-150,0
-83.25,4.62,207,61,-200,0
-80.12,90.75,-9,41,-62,0
-89.37,179.94,-459,-607,-331,0
-73.12,14.06,594,-363,-151,0
-78,24.94,-256,92,704,0
-77.69,20.69,-271,-93,-278,0
-85.44,4.37,81,101,-78,0
-82.12,101.62,-177,36,-478,0
-83.19,-2,-112,384,-292,0
-74.5,19.06,407,49,14,0
-70.75,21.69,749,-545,13,0
-81.5,36.63,392,-56,-238,0
-80.69,87.94,-115,-35,-89,0
-89.19,0.75,-449,-312,-240,0
-73.75,12.75,604,-14,-83,0
-80,31.62,-1010,-80,280,0
-75.62,25.31,286,-20,-280,0
-84.75,174.75,-93,346,-50,0
-85.19,175.62,265,-63,-181,0
-80.31,-8.25,59,430,-291,0
-77.81,23.62,-188,110,-66,0
-71.12,10.06,429,250,-289,0
-83.44,3.56,-84,-68,-263,0
-80.81,89.62,-180,-27,-115,0
-87.69,1.31,-73,-236,-268,0
-73.81,17.81,451,-172,-165,0
-77.62,21.37,-524,334,388,0
-81.69,26.06,-763,-144,-240,0
-84.25,5.69,-66,241,-156,0
-85.31,175.37,124,-138,-356,0
-80,4.31,147,119,-238,0
-76.44,24.5,-255,21,-99,0
-69.94,18.56,759,-271,-372,0
-81.94,14.38,286,43,-254,0
-83.12,79.44,-187,171,-33,0
